file,min_sup,min_conf,
out1_untappd.csv,0.01,0.5,
size,itemset,support,
1,0.010471204188481676,(Stone Brewing Co.+Stone Enjoy By 11.27.15 Black IPA),
1,0.010471204188481676,(Redd's Brewing Company+Redd's Strawberry Ale),
1,0.010471204188481676,(The Libertine Pub+Summer Breeze),
1,0.010471204188481676,(Ballast Point Brewing & Spirits+Wahoo White),
1,0.010471204188481676,(Stone Brewing Co.+Stone 12.12.12 Vertical Epic Ale),
1,0.010471204188481676,(Lagunitas Brewing Company+New Dogtown Pale Ale),
1,0.013089005235602094,(Saint Archer Brewing Company+IPA),
1,0.015706806282722512,(Firestone Walker Brewing Company+Pale 31),
1,0.013089005235602094,(New Belgium Brewing Company+Slow Ride),
1,0.010471204188481676,(Ace Cider (The California Cider Company)+Ace Perry Cider),
1,0.013089005235602094,(Pizza Port Brewing Co.+Swami's IPA),
1,0.010471204188481676,(The Libertine Pub+Biere De Table Framboise),
1,0.010471204188481676,(Firestone Walker Brewing Company+Double DBA (2014)),
1,0.010471204188481676,(Ballast Point Brewing & Spirits+Sour Wench with Raspberries),
1,0.015706806282722512,(Lagunitas Brewing Company+A Little Sumpin' Extra! Ale),
1,0.013089005235602094,(Lagunitas Brewing Company+DayTime Fractional IPA),
1,0.010471204188481676,(Dogfish Head Craft Brewery+Midas Touch),
1,0.010471204188481676,(AleSmith Brewing Company+Speedway Stout),
1,0.013089005235602094,(Goose Island Beer Co.+Bourbon County Brand Stout),
1,0.010471204188481676,(The Libertine Pub+Won't You Be My Neighbor),
1,0.010471204188481676,(The Libertine Pub+Saison Fonce),
1,0.010471204188481676,(Rogue Ales & Spirits+Dead Guy Ale),
1,0.010471204188481676,(SLO Brewing Company+Saphead),
1,0.015706806282722512,(Central Coast Brewing+Stenner Creek Stout),
1,0.010471204188481676,(The Libertine Pub+Morro Rock Saison),
1,0.010471204188481676,(Einstök Ölgerð+Icelandic Toasted Porter),
1,0.010471204188481676,(Boston Beer Company (Samuel Adams)+Samuel Adams Boston Lager),
1,0.013089005235602094,(Deschutes Brewery+Mirror Pond Pale Ale),
1,0.010471204188481676,(Hornsby's Pubdrafts+Crisp Apple),
1,0.01832460732984293,(Tap It Brewing Co+Ale Camino),
1,0.013089005235602094,(Caledonian Brewing Company+Newcastle Werewolf),
1,0.015706806282722512,(Tap It Brewing Co+Pi),
1,0.010471204188481676,(Tap It Brewing Co+Full Blown Stout),
1,0.010471204188481676,(Oskar Blues Brewery+Pinner Throwback IPA),
1,0.010471204188481676,(Coors Brewing Company+Coors Original),
