file              min_sup     min_conf                                                                                                                                                                                            
out1_untappd.csv  0.005       0.6                                                                                                                                                                                                 
support           confidence  antecedent                                                                                                                                                                                          consequent
0.006             0.160       {Firestone Walker Brewing Company+DBA (Double Barrel Ale)}                                                                                                                                          {Central Coast Brewing+Catch 23}-{Stone Brewing Co.+Stone Ruination IPA}
0.006             0.160       {Firestone Walker Brewing Company+DBA (Double Barrel Ale)}                                                                                                                                          {Firestone Walker Brewing Company+Pale 31}-{Lagunitas Brewing Company+A Little Sumpin' Sumpin' Ale}
0.006             0.160       {Firestone Walker Brewing Company+DBA (Double Barrel Ale)}                                                                                                                                          {Firestone Walker Brewing Company+Pivo Pils}-{Lagunitas Brewing Company+A Little Sumpin' Sumpin' Ale}
0.006             0.160       {Firestone Walker Brewing Company+DBA (Double Barrel Ale)}                                                                                                                                          {Firestone Walker Brewing Company+Pivo Pils}-{Stone Brewing Co.+Stone Ruination IPA}
0.006             0.160       {Firestone Walker Brewing Company+DBA (Double Barrel Ale)}                                                                                                                                          {Rogue Ales & Spirits+Dead Guy Ale}-{Duvel Moortgat+Duvel}
0.006             0.160       {Firestone Walker Brewing Company+DBA (Double Barrel Ale)}                                                                                                                                          {Stone Brewing Co.+Delicious IPA}-{Lagunitas Brewing Company+IPA}-{Sierra Nevada Brewing Co.+Pale Ale}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Anchor Brewing Company+Anchor Steam Beer}-{Firestone Walker Brewing Company+805 Blonde}-{Firestone Walker Brewing Company+Easy Jack}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Anchor Brewing Company+Anchor Steam Beer}-{Firestone Walker Brewing Company+805 Blonde}-{Firestone Walker Brewing Company+Pivo Pils}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Anchor Brewing Company+Anchor Steam Beer}-{Firestone Walker Brewing Company+805 Blonde}-{Firestone Walker Brewing Company+Pivo Pils}-{Firestone Walker Brewing Company+Easy Jack}
0.006             0.160       {Sierra Nevada Brewing Co.+Pale Ale}                                                                                                                                                                {Anchor Brewing Company+Anchor Steam Beer}-{Firestone Walker Brewing Company+Easy Jack}
