id, brewery, beer
2117, Bootlegger's Brewery, Mint Chocolate Porter
2432, New Belgium Brewing Company, Oatmeal IPA (Hop Kitchen)
3548, Lawson's Finest Liquids, Fayston Maple Imperial Stout
2271, BarrelHouse Brewing Co, TastyHouse Double IPA
380, Ballast Point Brewing & Spirits, Dorado Double IPA
3263, The Bruery, Grey Monday
3502, Brouwerij Oud Beersel, Oude Kriek (Vieille)
3425, Uncommon Brewers, Siamese Twin Ale
110, Brouwerij Lindemans, Pêche (Pêcheresse)
2877, Almanac Beer Co., Bourbon Sour Porter
174, Tahoe Mountain Brewing Company, Hot Pants
1511, Sierra Nevada Brewing Co., Porter
2235, To Øl, Black Malts & Body Salts
2151, Weldebräu, Badisch Gose
1634, New Belgium Brewing Company, Accumulation
764, Santa Barbara Brewing Company, Vat 629
3537, Upland Brewing Company, Dantalion
1466, Cismontane Brewing Co., California Buckwheat Oktoberfest
2886, Mad Duck Neighborhood Grill & Taphouse, Citra Batch 1
1825, Council Brewing Company, Beatitude Mosaic Dry Hopped Tart Saison
2980, Green Flash Brewing Co., Saison Tart
2791, Firestone Walker Brewing Company, Parabola (2013)
253, 21st Amendment Brewery , Brew Free! or Die IPA
3474, Brouwerij De Molen, Willens & Wetens
2705, Odell Brewing Co., Dr. Acula
439, Weisses Bräuhaus G. Schneider & Sohn, Schneider Weisse Unser Aventinus (TAP6)
766, Santa Barbara Brewing Company, Old Town Nut Brown
674, Woodchuck Cidery, Woodchuck Pear Hard Cider
1221, Doomsday Brewing Company, Nuclear IPA
367, San Miguel Brewery, San Miguel Pale Pilsen
705, Old Redwood Brewing Company, Picker's Saison
2457, New Belgium Brewing Company, Transatlantique Kriek (Lips of Faith) (2015)
490, Speakeasy Ales & Lagers, Prohibition Ale
3638, Magnolia Brewing Company, Pearly Baker's Best Bitter
2949, New Belgium Brewing Company, Transatlantique Kriek (Lips of Faith) (2013)
2748, Trinity Brewing Co. (Colorado), TPS Report
2482, Prairie Artisan Ales, Cherry Funk
3070, Creekside Brewing Company, Hefeweizen
1843, Aftershock Brewing Co, Peanut Alert
1473, Great Divide Brewing Company, Titan IPA
2336, Night Shift Brewing, Somer Weisse
3899, Angry Orchard Cider Company, Summer Honey
1014, Bruery Terreux®, Hottenroth
